"image_name","site","transect","boulder","cobble","green_algae_ulva","kelp_sugar","pebble","red_algae_branching","red_algae_filamentous","red_algae_flat_leaf","silt","kelp_bull_blade","kelp_five_rib","kelp_stipe","red_algae_bushy","unknown_area","Review","brown_algae_sargassum","red_algae_encrusting_CCA","sand_fine_shell","anthropogenic","kelp_holdfast","mobile_species","shell_hash","kelp_bryozoan","kelp_sieve","brown_algae_filamentous","green_algae_filamentous","combined_red_algae"
"2024_10_08_11-34-11.jpg","Centennial_Park",4,0,0.02,0.92,0.02,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024_10_08_11-34-20.jpg","Centennial_Park",4,0,0.14,0.44,0.04,0.18,0,0,0,0.06,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024_10_08_11-34-29.jpg","Centennial_Park",4,0.06,0.12,0.52,0,0.22,0,0,0.02,0.04,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04
"2024_10_08_11-34-38.jpg","Centennial_Park",4,0.02,0,0.62,0.06,0.12,0,0,0,0.08,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0
"2024_10_08_11-34-47.jpg","Centennial_Park",4,0.06,0.02,0.6,0.02,0.06,0,0,0,0.12,0,0,0,0.02,0.04,0,0,0,0.04,0,0,0,0.02,0,0,0,0,0.02
"2024_10_08_11-34-56.jpg","Centennial_Park",4,0.02,0.04,0.28,0.22,0.12,0,0,0.02,0.2,0,0,0,0,0,0,0.02,0,0.06,0,0,0,0.02,0,0,0,0,0.02
"2024_10_08_11-35-05.jpg","Centennial_Park",4,0.04,0.04,0.42,0.12,0.2,0,0,0,0.1,0,0,0.02,0,0.02,0,0,0,0.02,0,0,0.02,0,0,0,0,0,0
"2024_10_08_11-35-14.jpg","Centennial_Park",4,0.04,0.02,0.54,0.18,0.08,0,0,0,0.04,0,0,0,0,0.02,0,0,0,0.04,0,0,0.02,0,0.02,0,0,0,0
"2024_10_08_11-35-23.jpg","Centennial_Park",4,0.08,0,0.32,0.36,0.16,0,0,0,0,0,0,0,0,0.02,0,0,0,0.06,0,0,0,0,0,0,0,0,0
"2024_10_08_11-35-32.jpg","Centennial_Park",4,0.04,0.06,0.08,0.36,0.18,0,0,0.08,0.14,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0.04,0,0,0,0.08
