key,site,transect,img_name,MDS1,MDS2,richness,Shannon,Simpson,Pielou,soft_sediment,shell_debris,cobble,pebble,hard_substrate,anthro_substrate,unknown,filamentous_brown,sargassum,sugar_kelp,green_algae,textured_kelp,other_brown_kelp,red_algae,coralline_algae,kelp_bryozoan,sessile_invert,mobile_invert
6_3,6,3,2022_8_15_10-53-49_64.jpg,-0.521396908,0.597695554,7,1.285550475,0.609203954,0.660642258,3,7,1,57,0,0,13,0,0,14,2,0,0,0,0,0,0,0
6_3,6,3,2022_8_15_10-53-49_336.jpg,-0.136388951,0.389370805,8,1.91989443,0.825712992,0.923274058,8,30,6,10,0,0,14,0,0,6,12,0,0,8,0,0,0,0
6_3,6,3,2022_8_15_10-53-49_528.jpg,0.572876997,-0.772697619,5,0.797357839,0.3876,0.495426281,0,11,1,8,0,0,0,0,0,3,0,77,0,0,0,0,0,0
6_3,6,3,2022_8_15_10-53-49_552.jpg,-0.474646929,-0.273039268,8,1.447837706,0.6828,0.696262759,4,19,0,15,0,0,2,0,0,50,1,8,0,1,0,0,0,0
6_3,6,3,2022_8_15_10-53-49_240.jpg,-0.542523916,-0.348046264,8,1.200250553,0.531170289,0.577198507,0,10,2,3,1,0,3,0,0,66,0,4,0,10,0,0,0,0
6_3,6,3,2022_8_15_10-53-49_536.jpg,-0.462611089,-0.049498448,9,1.75147961,0.772370166,0.797132723,4,9,17,19,0,0,2,0,0,38,2,4,0,4,0,0,0,1
6_3,6,3,2022_8_15_10-53-49_8.jpg,-0.08493621,-0.356530951,8,1.626037542,0.766763848,0.781958766,24,1,6,0,0,0,8,0,0,32,1,23,0,3,0,0,0,0
6_3,6,3,2022_8_15_10-53-49_584.jpg,-0.033130575,0.325676979,9,1.723022317,0.739800347,0.784181251,6,44,2,13,0,0,13,0,0,5,3,5,0,5,0,0,0,0
6_3,6,3,2022_8_15_10-53-49_320.jpg,-0.257189004,-0.215650332,7,1.637996738,0.748450413,0.841763808,3,13,0,5,0,0,11,0,0,38,0,12,0,6,0,0,0,0
6_3,6,3,2022_8_15_10-53-49_232.jpg,-0.664935776,-0.387107285,10,1.243309493,0.5094,0.539962452,0,6,7,5,2,0,4,3,0,69,1,2,0,1,0,0,0,0
6_3,6,3,2022_8_15_10-53-49_416.jpg,-0.468945163,-0.315172826,8,1.470446145,0.663401694,0.70713512,2,18,2,4,0,0,5,0,0,53,6,9,0,0,0,0,0,0
6_3,6,3,2022_8_15_10-53-49_504.jpg,-0.803103511,-0.050099973,6,1.164410387,0.6388,0.649869811,1,22,0,25,0,0,0,0,0,50,1,0,0,1,0,0,0,0
6_3,6,3,2022_8_15_10-53-49_456.jpg,0.203448654,0.022003891,10,1.806786476,0.755841241,0.784677397,1,44,4,6,8,0,4,0,0,5,3,13,0,11,0,0,0,0
6_3,6,3,2022_8_15_10-53-49_360.jpg,-0.925606343,-0.363088901,8,0.848498292,0.357142857,0.408041426,0,3,2,5,0,0,1,0,0,78,7,0,0,1,0,1,0,2
6_3,6,3,2022_8_15_10-53-49_464.jpg,0.061635033,-0.467299527,7,1.526299804,0.748,0.784362939,1,36,0,12,5,0,1,0,0,18,0,27,0,0,0,0,0,0
6_3,6,3,2022_8_15_10-53-49_488.jpg,-0.859483064,-0.508429036,7,0.72153909,0.3038,0.370797742,1,7,3,2,3,0,0,0,0,83,1,0,0,0,0,0,0,0
6_3,6,3,2022_8_15_10-53-49_512.jpg,-0.379778233,-0.168128647,6,1.519174596,0.748,0.847867486,5,22,0,25,0,0,0,0,0,36,0,9,0,3,0,0,0,0
6_3,6,3,2022_8_15_10-53-49_136.jpg,0.337488113,-0.618655329,7,1.20595462,0.562934028,0.61973808,0,12,6,5,0,0,1,0,0,10,1,61,0,0,0,0,0,0
6_3,6,3,2022_8_15_10-53-49_600.jpg,-0.357687687,0.282570478,8,1.670382255,0.753392511,0.803284065,7,41,3,18,0,0,5,0,0,17,2,0,0,6,0,0,0,0
6_3,6,3,2022_8_15_10-53-49_624.jpg,-0.769779768,-0.023915448,5,1.230553401,0.665,0.764585817,4,35,2,16,0,0,0,0,0,43,0,0,0,0,0,0,0,0
6_3,6,3,2022_8_15_10-53-49_424.jpg,-1.018762935,-0.602574362,4,0.253278454,0.097541067,0.182701784,1,2,0,0,0,0,2,0,0,94,0,0,0,0,0,0,0,1
6_3,6,3,2022_8_15_10-53-49_16.jpg,0.689955671,-0.417170614,8,1.15881836,0.536271809,0.557273834,6,2,1,14,0,0,1,0,0,0,0,65,0,9,0,1,0,0
6_3,6,3,2022_8_15_10-53-49_128.jpg,0.021507747,-0.235723751,8,1.79942263,0.8068,0.865339368,6,21,5,13,0,0,4,0,0,20,0,29,0,2,0,0,0,0
6_3,6,3,2022_8_15_10-53-49_256.jpg,-0.435480605,0.005140492,9,1.738781176,0.7758,0.791353416,8,27,7,8,1,0,1,0,0,35,3,0,0,10,0,0,0,0
6_3,6,3,2022_8_15_10-53-49_432.jpg,-1.116099778,-0.641390866,2,0.098039113,0.0392,0.141440543,0,0,2,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0
6_3,6,3,2022_8_15_10-53-49_408.jpg,-0.612293739,-0.187820077,7,1.285780854,0.615578841,0.66076065,2,18,3,5,0,0,9,0,0,51,0,0,0,1,0,0,0,0
6_3,6,3,2022_8_15_10-53-49_160.jpg,0.467526784,-0.163751853,8,1.840357764,0.8228,0.885025007,9,22,18,5,19,0,2,0,0,0,0,22,0,3,0,0,0,0
6_3,6,3,2022_8_15_10-53-49_352.jpg,-1.083734929,-0.636076283,4,0.167700537,0.0588,0.120970366,0,0,0,1,0,0,1,0,0,97,0,0,0,0,1,0,0,0
6_3,6,3,2022_8_15_10-53-49_72.jpg,-0.669754774,0.366108546,6,1.195982291,0.61,0.667490426,0,4,1,55,0,0,7,0,0,28,0,0,0,5,0,0,0,0
6_3,6,3,2022_8_15_10-53-49_496.jpg,-0.768552519,-0.245480311,6,1.142285168,0.554752066,0.637521491,1,9,14,5,0,0,0,0,0,56,0,0,0,3,0,0,0,0
6_3,6,3,2022_8_15_10-53-49_520.jpg,-0.339679954,-0.404631409,7,1.403838749,0.6956,0.721430406,2,19,0,12,0,0,1,0,0,47,1,18,0,0,0,0,0,0
6_3,6,3,2022_8_15_10-53-49_616.jpg,-0.41720172,-0.090954029,7,1.609344688,0.752394835,0.827039567,8,30,3,10,0,0,8,0,0,35,0,4,0,0,0,0,0,0
6_3,6,3,2022_8_15_10-53-49_344.jpg,-0.31757801,0.126132848,9,1.920598851,0.824813795,0.874102206,7,15,5,21,0,0,6,3,0,28,2,0,0,12,0,0,0,0
6_3,6,3,2022_8_15_10-53-49_112.jpg,-0.227387431,-0.414294447,5,1.419640628,0.718448753,0.882072317,9,17,0,0,0,0,7,0,0,41,0,21,0,0,0,0,0,0
6_3,6,3,2022_8_15_10-53-49_288.jpg,-0.86988301,-0.460940398,8,0.692992948,0.2732,0.333259163,1,5,1,2,0,0,2,0,0,85,2,0,0,2,0,0,0,0
6_3,6,3,2022_8_15_10-53-49_120.jpg,0.156137718,-0.303340717,8,1.603149212,0.751351903,0.770951806,0,11,4,1,0,0,4,0,0,20,1,39,0,19,0,0,0,0
6_3,6,3,2022_8_15_10-53-49_480.jpg,-0.431126205,0.169501695,8,1.627983205,0.742169166,0.782894432,5,42,16,5,2,0,2,0,0,20,0,0,0,7,0,0,0,0
6_3,6,3,2022_8_15_10-53-49_544.jpg,-0.807852009,-0.085166109,7,1.155925349,0.5856,0.594028121,3,6,0,29,0,0,2,0,0,57,2,0,0,1,0,0,0,0
6_3,6,3,2022_8_15_10-53-49_96.jpg,-0.064879074,0.232740698,8,1.743376413,0.793592491,0.838386835,11,34,0,18,0,0,16,0,0,10,1,8,0,1,0,0,0,0
6_3,6,3,2022_8_15_10-53-49_216.jpg,-0.335868888,0.115355063,8,1.928242514,0.8332,0.927288638,6,19,8,13,0,0,13,0,0,28,6,0,0,7,0,0,0,0
6_3,6,3,2022_8_15_10-53-49_376.jpg,-0.449330348,-0.032703634,9,1.618627184,0.731119792,0.736668978,2,37,4,9,0,0,2,0,0,31,3,3,0,5,0,0,0,0
6_3,6,3,2022_8_15_10-53-49_56.jpg,0.267808356,-0.233502762,9,1.617050391,0.741556984,0.735951349,2,2,0,33,0,0,9,0,0,10,5,35,0,1,0,2,0,0
6_3,6,3,2022_8_15_10-53-49_80.jpg,-0.770115802,0.181342385,6,1.185700294,0.632,0.661751934,1,6,0,47,0,0,8,0,0,37,1,0,0,0,0,0,0,0
6_3,6,3,2022_8_15_10-53-49_104.jpg,-0.280379064,0.478225677,7,1.612028095,0.762807164,0.828418566,9,21,0,37,0,0,16,0,0,11,1,0,0,3,0,0,0,0
6_3,6,3,2022_8_15_10-53-49_200.jpg,-0.893983906,-0.571190682,3,0.442198699,0.2306,0.402506602,0,0,0,0,2,0,11,0,0,87,0,0,0,0,0,0,0,0
7_1,7,1,2022_8_15_11-59-18_360.jpg,0.263588353,-0.393841862,6,1.447521037,0.727068666,0.807876873,0,24,2,22,0,0,0,0,0,9,0,39,0,3,0,0,0,0
7_1,7,1,2022_8_15_11-59-18_136.jpg,-0.909808485,-0.391301542,5,0.716353705,0.3322,0.445095582,0,0,6,1,0,0,8,0,0,81,4,0,0,0,0,0,0,0
7_1,7,1,2022_8_15_11-59-18_408.jpg,-0.428625244,0.696479358,9,1.46366204,0.6852,0.666141302,6,42,2,36,0,0,2,0,0,5,3,0,0,3,0,0,0,0
7_1,7,1,2022_8_15_11-59-18_336.jpg,-0.545590689,-0.115628631,8,1.410581958,0.681234825,0.678346532,3,36,5,2,0,0,7,0,0,37,0,1,0,2,0,0,0,0
7_1,7,1,2022_8_15_11-59-18_104.jpg,-0.208256844,0.354978491,7,1.69694042,0.76299169,0.872054869,40,9,5,0,0,0,10,0,0,13,8,0,0,10,0,0,0,0
7_1,7,1,2022_8_15_11-59-18_64.jpg,-0.839267226,-0.484551342,6,0.619192303,0.268447261,0.345577804,3,1,0,0,0,0,7,0,0,80,1,0,0,2,0,0,0,0
7_1,7,1,2022_8_15_11-59-18_88.jpg,-0.70677089,-0.225516966,8,1.279120094,0.566890496,0.615126739,3,1,0,0,0,0,11,3,0,56,7,0,0,5,0,2,0,0
7_1,7,1,2022_8_15_11-59-18_280.jpg,-0.173437276,-0.526737253,7,1.290131346,0.6536,0.66299636,0,9,0,0,0,0,7,0,0,48,1,32,0,2,1,0,0,0
7_1,7,1,2022_8_15_11-59-18_40.jpg,0.302245611,0.733560357,8,1.826793712,0.819100346,0.878502076,24,2,6,0,0,0,14,10,0,0,13,0,0,15,0,0,1,0
7_1,7,1,2022_8_15_11-59-18_168.jpg,-0.12699725,1.026231899,5,1.144877871,0.5766,0.711352617,0,0,10,61,0,0,19,0,0,0,4,0,0,6,0,0,0,0
7_1,7,1,2022_8_15_11-59-18_368.jpg,0.316922614,-0.359588649,8,1.489014425,0.698506111,0.716064576,1,12,1,20,0,0,5,0,0,8,0,45,0,2,0,0,0,0
7_1,7,1,2022_8_15_11-59-18_296.jpg,-0.966613918,-0.58141111,5,0.351044778,0.135088256,0.218116384,2,2,0,0,0,0,2,0,0,92,0,0,0,1,0,0,0,0
7_1,7,1,2022_8_15_11-59-18_176.jpg,-0.784722967,0.686639208,7,0.939634056,0.4406,0.482876384,1,5,0,73,0,0,1,0,0,15,3,0,0,2,0,0,0,0
7_1,7,1,2022_8_15_11-59-18_8.jpg,0.104729795,1.271726651,7,1.087400353,0.528395062,0.558813239,59,0,0,0,0,1,8,16,0,4,0,0,0,1,0,0,0,0
7_1,7,1,2022_8_15_11-59-18_328.jpg,-0.784145897,-0.397021132,8,0.866148779,0.37368477,0.416529516,1,9,2,1,0,0,5,0,0,76,2,0,0,1,0,0,0,0
