"sum","SU","key","site","transect","img_name","soft_sediment","shell_debris","cobble","pebble","hard_substrate","anthro_substrate","unknown","filamentous_brown","kelp_holdfast","sargassum","sugar_kelp","green_algae","textured_kelp","other_brown_kelp","red_algae","coralline_algae","kelp_bryozoan","sessile_invert","mobile_invert"
1,78,"1_2","1","2","2022_10_06_14-05-43_208.jpg",0,0.16,0.15,0,0,0,0,0,0,0,0.49,0.04,0,0,0,0,0.02,0,0
1,112,"1_2","1","2","2022_10_06_14-05-43_64.jpg",0.02,0.03,0.02,0,0,0,0.09,0,0,0,0.71,0,0,0,0,0,0,0,0
1,94,"1_2","1","2","2022_10_06_14-05-43_320.jpg",0,0.05,0,0.03,0,0,0.03,0,0,0,0.86,0,0,0,0,0,0.03,0,0
1,111,"1_2","1","2","2022_10_06_14-05-43_56.jpg",0.01,0.15,0.06,0.02,0,0,0.11,0,0,0,0.61,0,0,0,0,0,0,0,0
1,110,"1_2","1","2","2022_10_06_14-05-43_48.jpg",0.01,0.08,0.01,0.01,0,0,0.09,0,0,0,0.69,0.01,0,0,0,0,0.01,0,0
1,90,"1_2","1","2","2022_10_06_14-05-43_296.jpg",0,0.01,0,0,0,0,0.07,0,0,0,0.86,0,0,0,0.02,0,0.02,0,0.02
1,92,"1_2","1","2","2022_10_06_14-05-43_312.jpg",0.01,0.09,0,0.01,0,0,0.02,0,0,0,0.82,0.03,0,0,0,0,0,0,0
1,115,"1_2","1","2","2022_10_06_14-05-43_80.jpg",0.01,0.1,0.01,0.01,0,0,0.1,0,0,0,0.61,0.04,0,0,0,0,0,0,0
1,85,"1_2","1","2","2022_10_06_14-05-43_256.jpg",0.12,0.16,0.06,0.01,0,0,0.05,0,0,0,0.53,0,0,0,0,0,0.05,0,0
1,109,"1_2","1","2","2022_10_06_14-05-43_432.jpg",0,0.01,0,0,0.02,0,0.01,0,0,0,0.81,0.1,0,0,0.05,0,0,0,0
1,97,"1_2","1","2","2022_10_06_14-05-43_344.jpg",0,0.06,0.03,0.08,0,0,0.01,0,0,0,0.74,0.04,0,0,0.03,0,0.01,0,0
1,63,"1_2","1","2","2022_10_06_14-05-43_0.jpg",0,0.1,0.02,0.04,0,0,0,0,0,0,0.53,0,0.25,0,0,0,0.06,0,0
1,70,"1_2","1","2","2022_10_06_14-05-43_152.jpg",0,0.02,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0.02,0.04,0,0
1,87,"1_2","1","2","2022_10_06_14-05-43_272.jpg",0.06,0.15,0.04,0.01,0,0,0.05,0,0,0,0.6,0.03,0,0,0.02,0,0.04,0,0
1,100,"1_2","1","2","2022_10_06_14-05-43_368.jpg",0,0.06,0,0,0,0,0.02,0,0,0,0.82,0,0,0,0,0,0.1,0,0
1,83,"1_2","1","2","2022_10_06_14-05-43_240.jpg",0,0.03,0,0.01,0,0,0.1,0,0,0,0.84,0,0,0,0,0,0.01,0,0.01
1,108,"1_2","1","2","2022_10_06_14-05-43_424.jpg",0.01,0.01,0,0,0,0,0,0,0,0,0.61,0.27,0,0,0.09,0,0.01,0,0
1,139,"1_3","1","3","2022_10_06_14-23-32_248.jpg",0,0,0.02,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0
1,132,"1_3","1","3","2022_10_06_14-23-32_200.jpg",0,0,0,0,0,0,0,0,0,0,0.56,0.02,0.04,0,0,0.02,0,0.04,0
1,127,"1_3","1","3","2022_10_06_14-23-32_160.jpg",0.02,0.02,0.12,0,0,0,0.04,0,0.02,0,0.64,0.02,0,0,0.02,0,0,0,0
1,129,"1_3","1","3","2022_10_06_14-23-32_176.jpg",0,0.08,0.14,0.02,0,0,0,0,0,0,0.62,0.02,0,0,0.04,0,0,0,0.02
1,123,"1_3","1","3","2022_10_06_14-23-32_136.jpg",0,0,0.08,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0
1,118,"1_3","1","3","2022_10_06_14-23-32_0.jpg",0,0.16,0.04,0.04,0,0,0,0,0,0,0.64,0.04,0,0,0.04,0,0.02,0,0
1,131,"1_3","1","3","2022_10_06_14-23-32_192.jpg",0.02,0,0,0,0,0,0,0,0,0,0.88,0,0,0,0.06,0,0,0.04,0
1,138,"1_3","1","3","2022_10_06_14-23-32_240.jpg",0,0.06,0,0.02,0,0,0.02,0,0,0,0.42,0.02,0.18,0,0,0,0,0,0
1,147,"1_3","1","3","2022_10_06_14-23-32_376.jpg",0.02,0.02,0,0,0,0,0.02,0,0,0,0.52,0.21,0,0,0,0,0.01,0,0.01
1,137,"1_3","1","3","2022_10_06_14-23-32_24.jpg",0,0.16,0.02,0.04,0,0,0,0,0,0,0.68,0,0.08,0,0,0,0.02,0,0
1,135,"1_3","1","3","2022_10_06_14-23-32_224.jpg",0,0.08,0.02,0.02,0,0,0,0,0,0,0.48,0.2,0.06,0,0,0,0,0,0
1,141,"1_3","1","3","2022_10_06_14-23-32_264.jpg",0,0.1,0.02,0,0,0,0,0,0,0,0.82,0,0,0,0.02,0,0,0,0
1,153,"1_3","1","3","2022_10_06_14-23-32_8.jpg",0,0.08,0.04,0.02,0,0,0.02,0,0,0,0.56,0.02,0,0,0.26,0,0,0,0
1,156,"1_3","1","3","2022_10_06_14-23-32_96.jpg",0,0.1,0.1,0.04,0,0,0,0,0,0,0.52,0.12,0.06,0,0,0,0,0,0
1,140,"1_3","1","3","2022_10_06_14-23-32_256.jpg",0,0.14,0.1,0.02,0,0,0,0,0,0,0.34,0.22,0,0,0.06,0,0,0,0
1,125,"1_3","1","3","2022_10_06_14-23-32_152.jpg",0,0.08,0.08,0.02,0,0,0.08,0,0,0,0.54,0.02,0,0,0,0,0.04,0,0
1,148,"1_3","1","3","2022_10_06_14-23-32_40.jpg",0,0,0.24,0,0,0,0,0,0.04,0,0.36,0.02,0,0,0,0,0,0,0
1,134,"1_3","1","3","2022_10_06_14-23-32_216.jpg",0,0.02,0.08,0.04,0.02,0,0,0,0,0,0.64,0.04,0,0,0,0,0,0.02,0
1,151,"1_3","1","3","2022_10_06_14-23-32_64.jpg",0,0.16,0.12,0.02,0,0,0.02,0,0,0,0.52,0.02,0,0,0.02,0,0,0,0
1,155,"1_3","1","3","2022_10_06_14-23-32_88.jpg",0,0.08,0.02,0.02,0,0,0,0,0,0,0.86,0,0,0,0.02,0,0,0,0
1,146,"1_3","1","3","2022_10_06_14-23-32_32.jpg",0,0.1,0.08,0.04,0,0,0,0,0,0,0.66,0,0,0,0,0,0,0,0
1,143,"1_3","1","3","2022_10_06_14-23-32_280.jpg",0.02,0.32,0.06,0.08,0,0,0.06,0,0,0,0.42,0.02,0,0,0,0,0,0.02,0
1,149,"1_3","1","3","2022_10_06_14-23-32_48.jpg",0.02,0.1,0.08,0.04,0,0,0,0,0,0,0.38,0.02,0.04,0,0.18,0,0,0,0
