name,site_name,site,transect,br_filam,br_sarg,gr_fil,gr_ulva,ke_5rib,ke_sieve,ke_stipe,ke_sugar,ms,re_branch,re_bush,re_fil,re_leaf,si_kelpbry,su_anth,su_bould,su_cob,su_peb,su_sand,su_shell,su_silt,unknown
2024_10_08_12-04-55.jpg,Centennial_Park,2,3,0,0,0.04,0.24,0,0,0,0,0,0,0,0,0.26,0,0,0.02,0.04,0.26,0.02,0,0.1,0.02
2024_10_08_12-05-04.jpg,Centennial_Park,2,3,0,0,0,0.36,0,0,0,0.02,0.02,0,0.04,0,0.3,0,0,0,0.08,0.12,0,0,0.04,0.02
2024_10_08_12-05-13.jpg,Centennial_Park,2,3,0,0.12,0,0.1,0.14,0,0,0.2,0.02,0,0,0.06,0.1,0,0,0,0.02,0.16,0,0,0.08,0
2024_10_08_12-05-22.jpg,Centennial_Park,2,3,0,0.1,0,0.38,0,0,0,0.18,0,0,0,0,0.02,0,0,0,0,0.28,0.04,0,0,0
2024_10_08_12-05-31.jpg,Centennial_Park,2,3,0.02,0,0,0.66,0,0,0,0,0,0,0.02,0,0.12,0,0,0,0.08,0.1,0,0,0,0
2024_10_08_12-05-40.jpg,Centennial_Park,2,3,0,0.04,0,0.4,0,0,0,0.32,0,0.04,0.02,0,0.1,0,0,0,0.02,0.06,0,0,0,0
2024_10_08_12-05-49.jpg,Centennial_Park,2,3,0,0.02,0,0.3,0,0,0,0.36,0.02,0.04,0,0.02,0.04,0,0,0,0.1,0.08,0,0,0.02,0
2024_10_08_12-05-58.jpg,Centennial_Park,2,3,0.02,0.04,0,0.44,0,0,0,0.04,0,0,0,0.04,0,0,0,0,0.06,0.3,0,0,0,0.06
2024_10_08_12-06-07.jpg,Centennial_Park,2,3,0,0.02,0,0.16,0,0.06,0,0.44,0,0.02,0.02,0,0.1,0,0,0.04,0.04,0.04,0.02,0,0.04,0
2024_10_08_12-06-16.jpg,Centennial_Park,2,3,0.04,0,0,0.26,0,0,0,0.26,0,0,0.06,0.02,0,0,0,0.02,0.08,0.02,0.02,0,0.22,0
2024_10_08_12-06-25.jpg,Centennial_Park,2,3,0,0,0,0.28,0,0,0,0.14,0,0,0,0.02,0,0,0,0,0.08,0.2,0.02,0,0.26,0
2024_10_08_12-06-34.jpg,Centennial_Park,2,3,0,0,0,0.16,0,0,0,0.42,0.04,0.02,0.02,0,0.04,0,0,0.02,0.04,0.08,0,0,0.16,0
2024_10_08_12-06-43.jpg,Centennial_Park,2,3,0.04,0,0,0.36,0,0,0,0.4,0.02,0,0,0,0,0,0,0,0.04,0.04,0,0,0.1,0
2024_10_08_12-06-52.jpg,Centennial_Park,2,3,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.06,0,0,0.06,0
2024_10_08_12-07-01.jpg,Centennial_Park,2,3,0,0,0,0.46,0,0,0,0.22,0,0,0,0,0,0,0,0,0.04,0.12,0.06,0,0.1,0
2024_10_08_12-07-10.jpg,Centennial_Park,2,3,0,0.1,0,0.34,0.24,0,0,0.16,0,0,0,0,0,0,0,0,0,0.12,0,0,0.04,0
2024_10_08_12-07-19.jpg,Centennial_Park,2,3,0,0.04,0,0.56,0,0,0,0.22,0,0,0.1,0,0,0,0,0,0.04,0.04,0,0,0,0
2024_10_08_12-07-28.jpg,Centennial_Park,2,3,0,0,0,0.52,0,0,0,0,0,0,0.14,0,0,0,0,0,0.06,0.14,0.02,0,0.12,0
2024_10_08_12-07-37.jpg,Centennial_Park,2,3,0,0.08,0,0.62,0,0,0,0.02,0,0,0.02,0,0,0,0,0,0.06,0.1,0,0.04,0.06,0
2024_10_08_12-07-46.jpg,Centennial_Park,2,3,0.14,0,0,0.58,0,0,0,0.1,0,0,0.02,0,0.04,0,0,0.02,0,0.06,0.02,0,0.02,0
2024_10_08_12-07-55.jpg,Centennial_Park,2,3,0,0.16,0,0.48,0,0,0,0,0,0,0,0,0.2,0,0,0,0.02,0.02,0,0,0.12,0
2024_10_08_12-08-04.jpg,Centennial_Park,2,3,0,0.14,0,0.46,0,0,0,0.04,0,0,0,0,0.02,0,0,0,0.06,0.1,0.02,0,0.16,0
2024_10_08_12-08-13.jpg,Centennial_Park,2,3,0.08,0,0,0.38,0,0,0,0.08,0,0,0,0.04,0,0,0,0,0.04,0.2,0.06,0,0.12,0
