"image_name","site","transect","Review","boulder","brown_algae_filamentous","cobble","green_algae_ulva","kelp_sugar","pebble","red_algae_branching","red_algae_filamentous","silt","red_algae_flat_leaf","shell_hash","unknown_area","mobile_species","red_algae_bushy","sand_fine_shell","kelp_five_rib","kelp_bryozoan"
"2024_10_08_10-19-00.jpg","Centennial_Park","2",0.2,0,0,0,0.02,0.1,0.3,0,0,0.24,0,0,0.1,0,0,0.04,0,0
"2024_10_08_10-19-09.jpg","Centennial_Park","2",0.12,0,0,0.02,0,0,0.62,0,0,0.2,0,0,0,0,0,0.04,0,0
"2024_10_08_10-19-18.jpg","Centennial_Park","2",0.1,0.02,0,0.06,0,0,0.64,0,0,0.1,0,0,0.02,0.06,0,0,0,0
"2024_10_08_10-19-27.jpg","Centennial_Park","2",0.14,0,0,0.02,0,0,0.5,0,0.02,0.22,0.02,0,0.08,0,0,0,0,0
"2024_10_08_10-19-36.jpg","Centennial_Park","2",0.08,0,0,0,0,0.18,0.42,0,0,0.16,0,0,0.16,0,0,0,0,0
"2024_10_08_10-19-45.jpg","Centennial_Park","2",0.16,0,0,0,0.1,0.02,0.44,0,0,0.18,0,0,0.1,0,0,0,0,0
"2024_10_08_10-19-54.jpg","Centennial_Park","2",0.14,0,0,0,0.02,0,0.4,0,0,0.34,0,0,0.08,0,0.02,0,0,0
"2024_10_08_10-20-03.jpg","Centennial_Park","2",0.12,0,0,0,0.02,0,0.1,0,0,0.66,0,0,0.06,0,0.02,0.02,0,0
"2024_10_08_10-20-12.jpg","Centennial_Park","2",0.06,0,0,0,0,0,0.06,0,0,0.8,0,0,0.08,0,0,0,0,0
"2024_10_08_10-20-21.jpg","Centennial_Park","2",0.2,0,0,0.08,0.08,0,0.2,0.02,0,0.3,0.06,0,0,0,0,0.06,0,0
"2024_10_08_10-20-30.jpg","Centennial_Park","2",0.1,0.02,0,0.02,0,0,0.22,0.02,0,0.5,0,0.04,0.02,0,0.02,0.04,0,0
"2024_10_08_10-30-24.jpg","Centennial_Park","2",0.06,0.02,0.02,0.02,0.1,0,0.68,0,0.02,0,0,0,0,0,0,0,0.08,0
"2024_10_08_10-30-33.jpg","Centennial_Park","2",0.12,0.02,0,0.06,0.06,0,0.66,0,0.08,0,0,0,0,0,0,0,0,0
"2024_10_08_10-30-42.jpg","Centennial_Park","2",0.14,0,0,0,0.02,0,0.76,0,0,0.04,0,0,0,0,0.04,0,0,0
"2024_10_08_10-30-51.jpg","Centennial_Park","2",0.08,0,0,0,0.34,0.08,0.34,0.02,0,0.04,0,0,0.1,0,0,0,0,0
"2024_10_08_10-31-00.jpg","Centennial_Park","2",0.16,0.04,0,0,0.04,0.08,0.52,0,0,0.06,0,0,0.02,0,0,0.06,0,0.02
"2024_10_08_10-31-09.jpg","Centennial_Park","2",0.24,0,0.02,0,0.02,0,0.52,0,0,0.16,0.02,0,0.02,0,0,0,0,0
"2024_10_08_10-31-18.jpg","Centennial_Park","2",0.18,0,0,0,0.04,0.08,0.28,0,0.02,0.36,0,0,0.02,0,0,0,0,0.02
