time,date,site,transect,key,flight_time,sec_csum,depth,heading,lat,lon,temp,avg_dist,avg_conf,EucDIS,lat_smooth,lon_smooth,EucSmooth,heading_degrees,sim_x,sim_y,width,height,area,img_name,Points,cup_SI,anem_SI,bivalve_SI,CaCuc_MS,crab_MS,CucEmb_SI,encru_SI,gastro_MS,HydBry_SI,KelpBry_SI,scallop_SI,SponSol_SI,SStar_MS,TunSol_SI,urchin_MS,shell_SU,SS_SU,bould_SU,cob_SU,concr_SU,lgshell_SU,peb_SU,reef_SU,wood_SU,anth_SU,fish_MS,glass_SU,metal_SU,poly_SU,UNIdent,X3rib_KE,X5rib_KE,art_CA,branch_RE,broad_KE,bullBL_KE,bullST_KE,bushy_RE,cabb_KE,coland_KE,cord_KE,crust_CA,DiRet_KE,feath_KE,filam_BR,filam_RE,FlatAci_BR,fucus_BR,giant_KE,holdfas_BR,LaEph_KE,LaLoSi_KE,leaf_RE,palm_KE,ribbn_KE,sargass_BR,senes_AL,senes_RE,split_KE,stalk_KE,strap_KE,StriAci_BR,sugar_KE,ulva_GR,undaria_BR,unk_BR,unk_RE,eel_SG,surf_SG,alt_smooth,SimDIS
13:54:40,10/6/2022,1,1,1_1,0:12:57,240,-5.91312,260,47.6303024,-122.3986358,55.09,0.974777778,100,0,47.6302983,-122.39865,0,272,47.63030327,-122.3985967,2.733176087,1.194689181,3.265295901,2022_10_06_13-50-40_240.jpg,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,7,0,16,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,28,4,0,7,0,0,0,NA,NA
13:54:48,10/6/2022,1,1,1_1,0:13:05,248,-5.91312,263,47.63031,-122.3986511,55.09,0.9673,100,0.578491481,47.63030025,-122.3986613,0.578491481,275,47.63030448,-122.3986124,2.71220917,1.185524405,3.215390162,2022_10_06_13-50-40_248.jpg,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,1,0,0,0,NA,NA
13:54:56,10/6/2022,1,1,1_1,0:13:13,256,-5.9436,263,47.6303024,-122.398674,55.09,1.008777778,100,1.028781657,47.63029892,-122.3986686,1.028781657,275,47.63030583,-122.3986279,2.828508571,1.236359635,3.497053824,2022_10_06_13-50-40_256.jpg,100,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,1,0,0,0,NA,NA
13:55:04,10/6/2022,1,1,1_1,0:13:21,264,-5.91312,263,47.6302833,-122.3986892,55.11,0.983555556,100,1.019555113,47.63029166,-122.3986744,1.019555113,275,47.63030704,-122.3986411,2.757788069,1.20544724,3.324368015,2022_10_06_13-50-40_264.jpg,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,3,0,0,0,0,0,0,0,0,0,0,4,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2,0,5,0,0,0,NA,NA
13:55:12,10/6/2022,1,1,1_1,0:13:29,272,-5.9436,263,47.6302833,-122.3986892,55.11,0.978,100,0,47.63030053,-122.3986826,0,275,47.63030755,-122.3986472,2.742210864,1.198638342,3.286919082,2022_10_06_13-50-40_272.jpg,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,8,0,0,0,NA,NA
13:55:20,10/6/2022,1,1,1_1,0:13:37,280,-5.88264,263,47.6303024,-122.3986892,55.11,0.9532,100,0,47.63030775,-122.3986904,0,275,47.63030853,-122.3986584,2.672674229,1.168243423,3.122334088,2022_10_06_13-50-40_280.jpg,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,5,0,0,0,NA,NA
13:55:28,10/6/2022,1,1,1_1,0:13:45,288,-6.00456,263,47.6303329,-122.3986892,55.11,0.969111111,100,2.442152628,47.63031483,-122.3986982,2.442152628,275,47.63030952,-122.3986698,2.717287338,1.187744105,3.227442018,2022_10_06_13-50-40_288.jpg,100,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1,0,4,0,0,0,NA,NA
13:55:36,10/6/2022,1,1,1_1,0:13:53,296,-5.97408,263,47.6303253,-122.3987121,55.11,0.991,100,0,47.63032054,-122.3987059,0,275,47.6303108,-122.3986843,2.77866152,1.214571162,3.374882151,2022_10_06_13-50-40_296.jpg,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,2,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,2,0,0,0,NA,NA
13:55:44,10/6/2022,1,1,1_1,0:14:01,304,-5.97408,263,47.6303176,-122.3987274,55.11,0.958111111,100,0.433451623,47.63032421,-122.3987171,0.433451623,275,47.63031192,-122.3986977,2.686444476,1.174262488,3.154590974,2022_10_06_13-50-40_304.jpg,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,7,0,0,0,NA,NA
13:55:52,10/6/2022,1,1,1_1,0:14:09,312,-5.91312,263,47.6303329,-122.3987197,55.11,0.969111111,100,0.422337479,47.63032383,-122.3987324,0.422337479,275,47.63031317,-122.3987124,2.717287338,1.187744105,3.227442018,2022_10_06_13-50-40_312.jpg,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,3,0,3,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,1,0,0,0,NA,NA
