"key","site","transect","img_name","soft_sediment","shell_debris","cobble","pebble","hard_substrate","anthro_substrate","unknown","filamentous_brown","kelp_holdfast","sargassum","sugar_kelp","green_algae","textured_kelp","other_brown_kelp","red_algae","coralline_algae","kelp_bryozoan","sessile_invert","mobile_invert"
"1_1","1","1","2022_10_06_13-50-40_136.jpg",8,16,4,0,0,0,0,0,0,0,67,1,0,0,0,0,0,0,0
"1_1","1","1","2022_10_06_13-50-40_80.jpg",1,28,7,9,0,0,1,0,0,0,48,3,0,0,0,0,1,0,0
"1_1","1","1","2022_10_06_13-50-40_8.jpg",1,13,7,0,0,0,3,0,0,0,61,2,2,0,0,0,0,0,0
"1_1","1","1","2022_10_06_13-50-40_104.jpg",5,8,6,4,0,0,1,0,0,0,61,2,0,0,0,0,3,0,1
"1_1","1","1","2022_10_06_13-50-40_0.jpg",7,5,1,2,0,0,10,0,0,0,69,0,0,0,0,0,4,0,1
"1_1","1","1","2022_10_06_13-50-40_488.jpg",0,3,0,6,0,0,1,0,0,0,82,8,0,0,0,0,0,0,0
"1_1","1","1","2022_10_06_13-50-40_168.jpg",3,13,3,0,0,0,0,0,0,0,75,1,0,0,3,0,1,0,0
"1_1","1","1","2022_10_06_13-50-40_424.jpg",9,4,4,0,4,0,6,6,0,0,44,3,3,0,15,0,0,0,2
"1_1","1","1","2022_10_06_13-50-40_208.jpg",2,3,4,0,0,0,1,0,0,0,79,0,0,0,0,0,3,0,0
"1_1","1","1","2022_10_06_13-50-40_440.jpg",4,2,0,0,5,0,1,0,1,0,77,0,0,0,7,0,1,2,0
"1_1","1","1","2022_10_06_13-50-40_312.jpg",3,12,3,1,0,0,5,0,0,0,74,0,0,0,0,0,1,0,0
"1_1","1","1","2022_10_06_13-50-40_232.jpg",5,15,4,2,0,0,0,0,0,0,60,3,0,0,0,0,0,0,0
"1_1","1","1","2022_10_06_13-50-40_192.jpg",1,2,8,0,0,0,6,0,0,0,73,2,0,3,0,0,0,0,0
"1_1","1","1","2022_10_06_13-50-40_448.jpg",4,1,0,0,2,0,0,0,0,0,92,0,0,0,0,0,1,0,0
"1_1","1","1","2022_10_06_13-50-40_472.jpg",1,1,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0
"1_1","1","1","2022_10_06_13-50-40_112.jpg",6,9,7,0,0,0,3,0,0,0,44,0,0,0,2,0,2,0,0
"1_1","1","1","2022_10_06_13-50-40_64.jpg",2,13,1,4,0,0,7,0,0,0,65,0,8,0,0,0,0,0,0
"1_1","1","1","2022_10_06_13-50-40_184.jpg",0,3,5,1,0,0,5,0,0,0,64,3,0,0,3,0,1,0,0
"2_1","2","1","2022_9_29_11-41-39_448.jpg",0,36,0,9,0,0,5,0,0,0,0,1,47,0,0,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_80.jpg",12,8,3,12,0,0,11,0,0,0,0,0,29,0,15,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_232.jpg",7,25,3,7,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_200.jpg",40,11,2,7,0,0,9,2,0,0,0,3,6,0,19,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_392.jpg",12,44,1,15,0,0,2,0,0,0,1,0,23,0,2,0,0,0,0
