"sum","SU","key","site","transect","img_name","soft_sediment","shell_debris","cobble","pebble","hard_substrate","anthro_substrate","unknown","filamentous_brown","kelp_holdfast","sargassum","sugar_kelp","green_algae","textured_kelp","other_brown_kelp","red_algae","coralline_algae","kelp_bryozoan","sessile_invert","mobile_invert"
1,116,"1_2",1,2,"2022_10_06_14-05-43_88.jpg",0,0.12,0,0,0,0,0,0,0,0,0.88,0,0,0,0,0,0,0,0
1,89,"1_2",1,2,"2022_10_06_14-05-43_288.jpg",0.01,0,0,0,0.14,0,0,0,0.03,0,0.74,0.01,0,0,0.04,0,0.01,0,0.02
1,108,"1_2",1,2,"2022_10_06_14-05-43_424.jpg",0.01,0.01,0,0,0,0,0,0,0,0,0.61,0.27,0,0,0.09,0,0.01,0,0
1,114,"1_2",1,2,"2022_10_06_14-05-43_8.jpg",0.03,0.19,0,0.02,0,0,0.06,0,0,0,0.53,0,0,0,0,0,0,0,0
1,74,"1_2",1,2,"2022_10_06_14-05-43_176.jpg",0,0.2,0.08,0.02,0,0,0.01,0,0,0,0.55,0.01,0,0,0.01,0,0.02,0,0
1,85,"1_2",1,2,"2022_10_06_14-05-43_256.jpg",0.12,0.16,0.06,0.01,0,0,0.05,0,0,0,0.53,0,0,0,0,0,0.05,0,0
1,65,"1_2",1,2,"2022_10_06_14-05-43_112.jpg",0,0.11,0.19,0.05,0,0,0.04,0.01,0,0,0.5,0.02,0,0,0,0,0.01,0,0.01
1,68,"1_2",1,2,"2022_10_06_14-05-43_136.jpg",0.01,0.14,0,0,0,0,0.01,0,0,0,0.82,0,0.01,0,0,0,0.01,0,0
1,111,"1_2",1,2,"2022_10_06_14-05-43_56.jpg",0.01,0.15,0.06,0.02,0,0,0.11,0,0,0,0.61,0,0,0,0,0,0,0,0
1,94,"1_2",1,2,"2022_10_06_14-05-43_320.jpg",0,0.05,0,0.03,0,0,0.03,0,0,0,0.86,0,0,0,0,0,0.03,0,0
1,99,"1_2",1,2,"2022_10_06_14-05-43_360.jpg",0,0.16,0.04,0,0,0,0,0,0,0,0.7,0.1,0,0,0,0,0,0,0
1,107,"1_2",1,2,"2022_10_06_14-05-43_416.jpg",0,0.01,0,0.01,0,0,0.01,0,0,0,0.56,0.33,0,0,0.08,0,0,0,0
1,98,"1_2",1,2,"2022_10_06_14-05-43_352.jpg",0.05,0.09,0,0.08,0,0,0.01,0,0,0,0.56,0.03,0,0,0.12,0,0.01,0,0
1,110,"1_2",1,2,"2022_10_06_14-05-43_48.jpg",0.01,0.08,0.01,0.01,0,0,0.09,0,0,0,0.69,0.01,0,0,0,0,0.01,0,0
1,84,"1_2",1,2,"2022_10_06_14-05-43_248.jpg",0.05,0.06,0.05,0,0,0,0.09,0,0,0,0.71,0.01,0,0,0,0,0.01,0,0.02
1,115,"1_2",1,2,"2022_10_06_14-05-43_80.jpg",0.01,0.1,0.01,0.01,0,0,0.1,0,0,0,0.61,0.04,0,0,0,0,0,0,0
1,78,"1_2",1,2,"2022_10_06_14-05-43_208.jpg",0,0.16,0.15,0,0,0,0,0,0,0,0.49,0.04,0,0,0,0,0.02,0,0
1,92,"1_2",1,2,"2022_10_06_14-05-43_312.jpg",0.01,0.09,0,0.01,0,0,0.02,0,0,0,0.82,0.03,0,0,0,0,0,0,0
1,109,"1_2",1,2,"2022_10_06_14-05-43_432.jpg",0,0.01,0,0,0.02,0,0.01,0,0,0,0.81,0.1,0,0,0.05,0,0,0,0
1,69,"1_2",1,2,"2022_10_06_14-05-43_144.jpg",0,0.03,0.02,0,0,0,0.01,0,0,0,0.92,0,0,0,0,0,0,0,0
1,113,"1_2",1,2,"2022_10_06_14-05-43_72.jpg",0,0.02,0.03,0.01,0,0,0.09,0,0,0,0.67,0,0,0,0,0,0,0,0
1,88,"1_2",1,2,"2022_10_06_14-05-43_280.jpg",0,0.01,0,0,0,0,0.02,0,0,0,0.89,0.08,0,0,0,0,0,0,0
1,100,"1_2",1,2,"2022_10_06_14-05-43_368.jpg",0,0.06,0,0,0,0,0.02,0,0,0,0.82,0,0,0,0,0,0.1,0,0
1,90,"1_2",1,2,"2022_10_06_14-05-43_296.jpg",0,0.01,0,0,0,0,0.07,0,0,0,0.86,0,0,0,0.02,0,0.02,0,0.02
1,105,"1_2",1,2,"2022_10_06_14-05-43_400.jpg",0,0.12,0,0,0,0,0.02,0,0,0,0.74,0.12,0,0,0,0,0,0,0
1,96,"1_2",1,2,"2022_10_06_14-05-43_336.jpg",0,0.01,0,0,0,0,0,0,0,0,0.88,0.11,0,0,0,0,0,0,0
1,66,"1_2",1,2,"2022_10_06_14-05-43_120.jpg",0.01,0.01,0.09,0.01,0,0,0.07,0,0,0,0.79,0.02,0,0,0,0,0,0,0
1,104,"1_2",1,2,"2022_10_06_14-05-43_40.jpg",0.04,0.21,0.07,0.06,0,0,0.17,0,0,0,0.33,0.01,0,0,0,0,0,0,0
1,101,"1_2",1,2,"2022_10_06_14-05-43_376.jpg",0.02,0,0,0,0,0,0,0,0,0,0.58,0.32,0,0,0.06,0,0.02,0,0
1,91,"1_2",1,2,"2022_10_06_14-05-43_304.jpg",0.01,0,0,0.01,0.02,0,0.09,0,0,0,0.86,0,0,0,0,0,0,0,0.01
1,83,"1_2",1,2,"2022_10_06_14-05-43_240.jpg",0,0.03,0,0.01,0,0,0.1,0,0,0,0.84,0,0,0,0,0,0.01,0,0.01
1,179,"2_1",2,1,"2022_9_29_11-41-39_232.jpg",0.07,0.25,0.03,0.07,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0
1,201,"2_1",2,1,"2022_9_29_11-41-39_392.jpg",0.12,0.44,0.01,0.15,0,0,0.02,0,0,0,0.01,0,0.23,0,0.02,0,0,0,0
1,174,"2_1",2,1,"2022_9_29_11-41-39_192.jpg",0.32,0.22,0,0.07,0,0,0.1,0.05,0,0,0.01,0,0,0,0.22,0,0,0,0
1,190,"2_1",2,1,"2022_9_29_11-41-39_312.jpg",0.2,0.42,0,0.06,0.02,0,0.13,0.01,0,0,0,0,0,0,0.12,0,0,0,0
1,161,"2_1",2,1,"2022_9_29_11-41-39_0.jpg",0,0,0.31,0.03,0,0,0.1,0,0,0,0,0,0.53,0,0.03,0,0,0,0
1,204,"2_1",2,1,"2022_9_29_11-41-39_408.jpg",0.03,0.12,0,0,0,0,0,0,0,0,0,0,0.82,0,0.03,0,0,0,0
1,215,"2_1",2,1,"2022_9_29_11-41-39_72.jpg",0.26,0.02,0,0.03,0,0,0.25,0,0,0,0,0.01,0.21,0,0.22,0,0,0,0
1,189,"2_1",2,1,"2022_9_29_11-41-39_304.jpg",0.14,0.46,0,0.02,0.01,0,0.09,0.02,0,0,0,0,0,0,0.11,0,0,0,0.01
1,210,"2_1",2,1,"2022_9_29_11-41-39_456.jpg",0.01,0.46,0.03,0.07,0,0,0.13,0,0,0,0,0,0.11,0,0.15,0,0,0,0
1,214,"2_1",2,1,"2022_9_29_11-41-39_64.jpg",0.15,0.01,0.04,0.03,0,0,0.38,0,0,0,0,0,0.29,0,0.07,0,0,0,0
1,173,"2_1",2,1,"2022_9_29_11-41-39_184.jpg",0.09,0.13,0,0,0,0,0.03,0,0,0,0,0,0.63,0,0.12,0,0,0,0
1,200,"2_1",2,1,"2022_9_29_11-41-39_384.jpg",0.09,0.35,0.01,0.08,0,0,0.09,0.01,0,0,0,0,0.33,0,0.04,0,0,0,0
