"sum","SU","key","site","transect","img_name","MDS1","MDS2","soft_sediment","shell_debris","cobble","pebble","hard_substrate","anthro_substrate","unknown","filamentous_brown","kelp_holdfast","sargassum","sugar_kelp","green_algae","textured_kelp","other_brown_kelp","red_algae","coralline_algae","kelp_bryozoan","sessile_invert","mobile_invert"
1,113,"1_2","1","2","2022_10_06_14-05-43_72.jpg",-0.851907220125648,-0.401509565182072,0,2,3,1,0,0,9,0,0,0,67,0,0,0,0,0,0,0,0
1,73,"1_2","1","2","2022_10_06_14-05-43_168.jpg",-0.919134500233132,-0.494596632676317,0,13,1,0,0,0,0,0,1,0,83,1,0,0,1,0,0,0,0
1,106,"1_2","1","2","2022_10_06_14-05-43_408.jpg",-0.95493654958383,-0.576257246131305,0,2,0,0,0,0,0,0,0,0,92,0,0,0,6,0,0,0,0
1,114,"1_2","1","2","2022_10_06_14-05-43_8.jpg",-0.702001089546565,-0.298044349891903,3,19,0,2,0,0,6,0,0,0,53,0,0,0,0,0,0,0,0
1,64,"1_2","1","2","2022_10_06_14-05-43_104.jpg",-0.860826781630573,-0.0364844602731101,0,3,1,0,0,0,33,0,0,0,47,12,0,0,0,0,3,0,0
1,117,"1_2","1","2","2022_10_06_14-05-43_96.jpg",-0.648870365955432,-0.466045678086472,1,23,1,1,0,0,1,0,0,0,56,1,5,0,0,0,2,0,0
1,74,"1_2","1","2","2022_10_06_14-05-43_176.jpg",-0.775405929138559,-0.26860784875053,0,20,8,2,0,0,1,0,0,0,55,1,0,0,1,0,2,0,0
1,91,"1_2","1","2","2022_10_06_14-05-43_304.jpg",-0.874211321235397,-0.557820150263407,1,0,0,1,2,0,9,0,0,0,86,0,0,0,0,0,0,0,1
1,104,"1_2","1","2","2022_10_06_14-05-43_40.jpg",-0.483931086693833,0.0116822295315194,4,21,7,6,0,0,17,0,0,0,33,1,0,0,0,0,0,0,0
1,71,"1_2","1","2","2022_10_06_14-05-43_16.jpg",-0.660331756817725,-0.26168430912843,3,11,6,1,0,0,8,0,0,0,50,0,0,0,0,0,2,0,0
1,105,"1_2","1","2","2022_10_06_14-05-43_400.jpg",-0.926178786621113,-0.356056300594244,0,12,0,0,0,0,2,0,0,0,74,12,0,0,0,0,0,0,0
1,76,"1_2","1","2","2022_10_06_14-05-43_192.jpg",-0.817487117799701,-0.238628874754343,0,20,0,1,0,0,3,0,0,0,59,11,0,0,1,0,2,0,0
1,81,"1_2","1","2","2022_10_06_14-05-43_232.jpg",-0.898869507761737,-0.50759707367939,1,4,1,2,0,0,3,0,0,0,88,0,0,0,1,0,0,0,0
1,103,"1_2","1","2","2022_10_06_14-05-43_392.jpg",-0.945204137393674,-0.513391419240389,0,8,0,0,0,0,0,0,0,0,88,2,0,0,2,0,0,0,0
1,75,"1_2","1","2","2022_10_06_14-05-43_184.jpg",-0.708090269303096,-0.603138193176053,1,10,0,0,0,0,0,0,0,0,78,1,8,0,0,0,0,0,0
1,80,"1_2","1","2","2022_10_06_14-05-43_224.jpg",-0.837401799043579,-0.316759374965479,0,4,13,5,0,0,4,0,0,0,68,1,0,0,0,0,0,0,0
1,86,"1_2","1","2","2022_10_06_14-05-43_264.jpg",-0.654515775278493,-0.23833533313139,12,17,8,0,0,0,4,0,0,0,56,2,0,0,0,0,0,0,0
1,101,"1_2","1","2","2022_10_06_14-05-43_376.jpg",-1.01070670075431,-0.203827597655115,2,0,0,0,0,0,0,0,0,0,58,32,0,0,6,0,2,0,0
1,89,"1_2","1","2","2022_10_06_14-05-43_288.jpg",-0.738758439922712,-0.688541294327122,1,0,0,0,14,0,0,0,3,0,74,1,0,0,4,0,1,0,2
1,72,"1_2","1","2","2022_10_06_14-05-43_160.jpg",-0.923974792976149,-0.480868818607273,0,11,2,2,0,0,0,0,0,0,81,0,0,0,0,0,1,0,0
1,77,"1_2","1","2","2022_10_06_14-05-43_200.jpg",-0.823244309789395,-0.408184785650005,1,15,0,0,0,0,1,0,0,0,67,2,0,0,2,0,1,0,0
1,93,"1_2","1","2","2022_10_06_14-05-43_32.jpg",-0.674887008912205,-0.01071685556883,0,21,1,2,0,0,33,0,0,0,39,1,0,0,0,0,3,0,0
1,102,"1_2","1","2","2022_10_06_14-05-43_384.jpg",-0.908887676924703,-0.530007202903865,0,8,0,0,0,0,0,0,0,0,86,0,0,0,4,0,2,0,0
1,68,"1_2","1","2","2022_10_06_14-05-43_136.jpg",-0.881496461533387,-0.528324225335286,1,14,0,0,0,0,1,0,0,0,82,0,1,0,0,0,1,0,0
1,95,"1_2","1","2","2022_10_06_14-05-43_328.jpg",-0.869428012221744,-0.46445779594957,0,7,0,1,0,0,2,0,0,0,73,1,0,0,2,0,2,0,0
1,67,"1_2","1","2","2022_10_06_14-05-43_128.jpg",-0.462507174591121,-0.648172548286481,0,2,11,0,0,0,1,0,0,0,66,1,19,0,0,0,0,0,0
1,98,"1_2","1","2","2022_10_06_14-05-43_352.jpg",-0.598250272689105,-0.159671658967245,5,9,0,8,0,0,1,0,0,0,56,3,0,0,12,0,1,0,0
1,88,"1_2","1","2","2022_10_06_14-05-43_280.jpg",-1.05976584822173,-0.498914119475227,0,1,0,0,0,0,2,0,0,0,89,8,0,0,0,0,0,0,0
1,84,"1_2","1","2","2022_10_06_14-05-43_248.jpg",-0.7343988600567,-0.358754841104697,5,6,5,0,0,0,9,0,0,0,71,1,0,0,0,0,1,0,2
1,96,"1_2","1","2","2022_10_06_14-05-43_336.jpg",-1.12802043191479,-0.48829757912123,0,1,0,0,0,0,0,0,0,0,88,11,0,0,0,0,0,0,0
1,99,"1_2","1","2","2022_10_06_14-05-43_360.jpg",-0.905362002645183,-0.313437005620072,0,16,4,0,0,0,0,0,0,0,70,10,0,0,0,0,0,0,0
1,116,"1_2","1","2","2022_10_06_14-05-43_88.jpg",-0.991611590470532,-0.547115876967191,0,12,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0
1,78,"1_2","1","2","2022_10_06_14-05-43_208.jpg",-0.874662434773792,-0.204943057685746,0,16,15,0,0,0,0,0,0,0,49,4,0,0,0,0,2,0,0
1,112,"1_2","1","2","2022_10_06_14-05-43_64.jpg",-0.818719652930597,-0.434069867408109,2,3,2,0,0,0,9,0,0,0,71,0,0,0,0,0,0,0,0
1,94,"1_2","1","2","2022_10_06_14-05-43_320.jpg",-0.947946724280439,-0.503205867914618,0,5,0,3,0,0,3,0,0,0,86,0,0,0,0,0,3,0,0
1,111,"1_2","1","2","2022_10_06_14-05-43_56.jpg",-0.678694523851139,-0.263630487139403,1,15,6,2,0,0,11,0,0,0,61,0,0,0,0,0,0,0,0
1,110,"1_2","1","2","2022_10_06_14-05-43_48.jpg",-0.777691611985724,-0.378144369736675,1,8,1,1,0,0,9,0,0,0,69,1,0,0,0,0,1,0,0
1,90,"1_2","1","2","2022_10_06_14-05-43_296.jpg",-0.902499598515983,-0.55001886400976,0,1,0,0,0,0,7,0,0,0,86,0,0,0,2,0,2,0,2
1,92,"1_2","1","2","2022_10_06_14-05-43_312.jpg",-0.899206077749372,-0.455403088073132,1,9,0,1,0,0,2,0,0,0,82,3,0,0,0,0,0,0,0
1,115,"1_2","1","2","2022_10_06_14-05-43_80.jpg",-0.733769995912807,-0.286702204612183,1,10,1,1,0,0,10,0,0,0,61,4,0,0,0,0,0,0,0
1,85,"1_2","1","2","2022_10_06_14-05-43_256.jpg",-0.640815192636792,-0.254317211956293,12,16,6,1,0,0,5,0,0,0,53,0,0,0,0,0,5,0,0
1,109,"1_2","1","2","2022_10_06_14-05-43_432.jpg",-0.916956238138989,-0.458918660848785,0,1,0,0,2,0,1,0,0,0,81,10,0,0,5,0,0,0,0
