Transect_key,Date,Time,Latitude,Longitude,DVLx,DVLy,DVLlat,DVLlon,Altitude,Depth,Depth_Source,Heading,Velocity_mps,Width,Area_m2,Distance,NEDz
N_6,9/10/2025,9:28:56,47.624893200000002,-122.3714799,32.517578125000000,24.323120117187500,47.624948168921762,-122.3710799,0.834999979,-10.85027122,NEDz,19.346958636393005,0.130658218,1.454924205035870,1.527944939530773,0.152092555,10.850271224975586
N_6,9/10/2025,9:28:57,47.624893200000002,-122.3714799,32.617675781250000,24.444213867187500,47.624949069217976,-122.3710783,0.821818173,-10.84838772,NEDz,19.466136521922557,0.127904608,1.431955907380938,1.480080753808859,0.157108997,10.848387718200684
N_6,9/10/2025,9:28:58,47.624893200000002,-122.3714799,32.704101562500000,24.540405273437500,47.624949846546912,-122.371077,0.834428551,-10.82927608,NEDz,19.550158183168129,0.103189785,1.453928534989745,1.525788144839329,0.129314355,10.829276084899902
N_6,9/10/2025,9:28:59,47.624893200000002,-122.3714799,32.793457031250000,24.607299804687500,47.624950650225976,-122.3710761,0.849019573,-10.80560684,NEDz,19.656489509439709,0.100774359,1.479352286314578,1.579533328846515,0.111621136,10.805606842041016
N_6,9/10/2025,9:29:00,47.624893200000002,-122.3714799,32.889648437500000,24.671875000000000,47.624951515388688,-122.3710753,0.849999964,-10.79537582,NEDz,19.481506266975899,0.10965284,1.481060543746656,1.583163893410279,0.11585656,10.795375823974609
N_6,9/10/2025,9:29:01,47.624892699999997,-122.371478,33.001464843750000,24.755493164062500,47.624952521085447,-122.3710742,0.82927883,-10.80699825,NEDz,19.351393678684449,0.123888123,1.444955537386565,1.507057687413614,0.13962416,10.806998252868652
N_6,9/10/2025,9:29:02,47.624892699999997,-122.371478,33.107910156250000,24.853637695312500,47.624953478473628,-122.3710728,0.830287064,-10.81876469,NEDz,19.356773591793239,0.127020342,1.446712309141094,1.510744321231622,0.144785889,10.818764686584473
N_6,9/10/2025,9:29:03,47.624892600000003,-122.3714776,33.216796875000000,24.964355468750000,47.624954457820245,-122.3710714,0.83548835,-10.8199873,NEDz,19.678031385047220,0.131079031,1.455775155598547,1.529661231934020,0.155289223,10.819987297058104
N_6,9/10/2025,9:29:04,47.624891099999999,-122.371476,33.316894531250000,25.064819335937500,47.624955358116459,-122.37107,0.837942559,-10.81417942,NEDz,19.720525969830074,0.122478638,1.460051429376264,1.538718653606079,0.14181865,10.814179420471191
N_6,9/10/2025,9:29:05,47.624891099999999,-122.371476,33.419921875000000,25.159301757812500,47.624956284762817,-122.3710688,0.825734585,-10.79851055,NEDz,19.646302474413574,0.11766703,1.438779957901720,1.494164714075870,0.139791136,10.798510551452637
N_6,9/10/2025,9:29:06,47.624891099999999,-122.371476,33.519531250000000,25.247070312500000,47.624957180667352,-122.3710676,0.79211535,-10.78048801,NEDz,19.744628865774729,0.112406379,1.380200988953906,1.375201385333213,0.132760487,10.780488014221191
N_6,9/10/2025,9:29:07,47.624891099999999,-122.371476,33.620117187500000,25.333496093750000,47.624958085355253,-122.3710665,0.803004659,-10.7623291,NEDz,19.801634963947009,0.115371375,1.399174785313828,1.413522541806677,0.132615785,10.762329101562500
N_6,9/10/2025,9:29:08,47.624897300000001,-122.371476,33.713867187500000,25.430419921875000,47.624958928559522,-122.3710652,0.814644548,-10.75604534,NEDz,19.738320822257531,0.125021338,1.419456408902278,1.454298896566808,0.134845434,10.756045341491699
N_6,9/10/2025,9:29:09,47.624896800000002,-122.3714753,33.812011718750000,25.544677734375000,47.624959811288981,-122.3710637,0.818712865,-10.75368881,NEDz,19.780991498844038,0.133217965,1.426545144191487,1.468903267663266,0.150622697,10.753688812255859
N_6,9/10/2025,9:29:10,47.624896800000002,-122.3714753,33.916503906250000,25.663208007812500,47.624960751110400,-122.3710621,0.822850232,-10.74508095,NEDz,19.605769874227256,0.138307456,1.433754191555154,1.483688478246940,0.158012794,10.745080947875977
N_6,9/10/2025,9:29:11,47.624896800000002,-122.3714753,34.025878906250000,25.771728515625000,47.624961734848718,-122.3710606,0.826124389,-10.71398544,NEDz,19.473418034633251,0.127858024,1.439459162513221,1.495526292813879,0.154076576,10.713985443115234
N_6,9/10/2025,9:29:12,47.624896100000001,-122.3714729,34.133300781250000,25.870727539062500,47.624962701020273,-122.3710593,0.836076533,-10.68504524,NEDz,19.500545421794978,0.125082647,1.456800018818941,1.531774871272832,0.146083079,10.685045242309570
N_6,9/10/2025,9:29:13,47.624896100000001,-122.3714729,34.236328125000000,25.967895507812500,47.624963627666638,-122.371058,0.827081326,-10.67625904,NEDz,19.454305719230831,0.130528402,1.441126552542617,1.498986127074885,0.141620082,10.676259040832520
N_6,9/10/2025,9:29:14,47.624896100000001,-122.3714729,34.334960937500000,26.082153320312500,47.624964514787777,-122.3710565,0.822559232,-10.67746449,NEDz,19.222050348204235,0.137291773,1.433247146863418,1.482636360526796,0.150941311,10.677464485168455
N_6,9/10/2025,9:29:15,47.624901100000002,-122.3714777,34.420898437500000,26.194946289062500,47.624965287725018,-122.371055,0.81728571,-10.67068672,NEDz,19.279796365898257,0.111173922,1.424058433605991,1.463688733078384,0.141800944,10.670686721801758
N_6,9/10/2025,9:29:16,47.624902200000001,-122.3714744,34.496093750000000,26.283813476562500,47.624965964045103,-122.3710538,0.812857143,-10.64008045,NEDz,19.319192840112585,0.094794776,1.416341990748522,1.447871194424853,0.116411821,10.640080451965332
N_6,9/10/2025,9:29:17,47.624902200000001,-122.3714744,34.566894531250000,26.352539062500000,47.624966600839983,-122.3710529,0.810000002,-10.60229206,NEDz,19.377693781807839,0.087268612,1.411363640517896,1.437666330777410,0.098670952,10.602292060852051
N_6,9/10/2025,9:29:18,47.624902300000002,-122.3714719,34.639160156250000,26.431030273437500,47.624967250809938,-122.3710519,0.813098576,-10.58629417,NEDz,19.484983145198605,0.094375236,1.416762670071980,1.448968078091384,0.106692037,10.586294174194336
N_6,9/10/2025,9:29:19,47.624902300000002,-122.3714719,34.719238281250000,26.522583007812500,47.624967971046907,-122.3710506,0.82732056,-10.58683205,NEDz,19.704688019337603,0.105318976,1.441543400049966,1.499851085640131,0.121632271,10.586832046508787
