"key","site","transect","img_name","kelp_bryozoan","soft_sediment","cobble","pebble","unknown","filamentous_brown","kelp_holdfast","sargassum","sugar_kelp","green_algae","textured_kelp","other_brown_kelp","red_algae","shell_debris","hard_substrate","anthro_substrate","sessile_invert","mobile_invert","coralline_algae"
"3_1","3","1","2022_9_29_10-12-09_536.jpg",0,0,0,0,14,0,0,0,1,13,28,0,11,0,7,0,0,0,9
"3_1","3","1","2022_9_29_10-12-09_656.jpg",0,0,18,0,18,0,0,0,0,0,20,1,0,0,43,0,0,0,0
"3_1","3","1","2022_9_29_10-12-09_520.jpg",0,0,0,3,7,0,0,0,0,24,16,0,18,0,28,0,0,0,0
"3_1","3","1","2022_9_29_10-12-09_360.jpg",0,0,1,0,1,0,0,0,2,25,34,0,17,0,9,0,0,0,8
"3_1","3","1","2022_9_29_10-12-09_344.jpg",0,1,0,0,30,0,0,0,1,0,20,0,5,0,30,0,0,0,9
"3_1","3","1","2022_9_29_10-12-09_192.jpg",0,0,4,0,26,2,0,0,16,0,0,0,15,0,28,0,0,0,5
"3_1","3","1","2022_9_29_10-12-09_144.jpg",0,0,0,0,29,0,0,0,0,0,0,0,10,0,43,0,0,0,0
"3_1","3","1","2022_9_29_10-12-09_128.jpg",0,0,5,0,13,0,0,0,0,0,38,0,8,0,27,0,0,0,7
"3_1","3","1","2022_9_29_10-12-09_224.jpg",0,0,13,0,47,0,0,0,0,0,0,0,12,1,20,0,0,0,7
"3_1","3","1","2022_9_29_10-12-09_440.jpg",0,0,0,0,39,0,0,6,0,40,0,0,7,0,8,0,0,0,0
"3_1","3","1","2022_9_29_10-12-09_312.jpg",0,0,2,0,8,6,0,0,0,2,52,0,0,0,12,0,0,0,5
"3_1","3","1","2022_9_29_10-12-09_416.jpg",0,0,1,0,4,0,0,0,0,88,0,0,6,0,0,0,0,0,0
"3_1","3","1","2022_9_29_10-12-09_744.jpg",0,0,0,0,10,0,0,0,0,0,26,0,5,0,55,0,0,0,0
"3_1","3","1","2022_9_29_10-12-09_232.jpg",0,0,3,0,10,0,0,0,3,0,24,0,9,0,32,0,5,0,14
"3_1","3","1","2022_9_29_10-12-09_48.jpg",0,1,1,0,5,0,0,0,9,0,50,0,8,0,24,0,0,0,0
"3_1","3","1","2022_9_29_10-12-09_336.jpg",0,0,0,0,17,2,0,0,18,0,17,0,11,1,25,0,0,0,3
"3_1","3","1","2022_9_29_10-12-09_568.jpg",0,5,2,1,17,0,0,0,0,0,29,0,2,1,31,0,0,0,5
"3_1","3","1","2022_9_29_10-12-09_704.jpg",0,0,7,0,27,0,0,0,0,0,0,0,16,0,11,0,0,0,7
"3_1","3","1","2022_9_29_10-12-09_632.jpg",0,0,30,0,25,0,0,0,0,2,5,0,10,0,20,0,0,0,4
"3_1","3","1","2022_9_29_10-12-09_608.jpg",0,7,0,0,20,3,0,0,4,1,8,0,13,6,20,0,0,0,8
"3_1","3","1","2022_9_29_10-12-09_264.jpg",0,0,0,0,43,0,0,0,0,0,11,0,3,0,29,0,0,0,10
"3_1","3","1","2022_9_29_10-12-09_448.jpg",0,3,3,0,42,1,0,0,0,21,0,0,25,0,2,0,0,1,1
"3_1","3","1","2022_9_29_10-12-09_272.jpg",0,0,0,0,24,0,0,0,0,2,0,0,0,0,21,0,0,0,8
"4_1","4","1","2022_10_10_09-46-57_216.jpg",0,18,0,26,7,0,0,0,6,1,0,0,3,38,0,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_400.jpg",0,7,0,9,2,0,0,0,1,3,1,0,18,59,0,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_288.jpg",0,3,8,17,8,0,0,0,0,0,13,0,28,18,0,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_136.jpg",0,12,2,10,10,0,0,0,0,4,0,0,4,23,8,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_328.jpg",0,9,4,3,9,0,0,0,0,1,42,0,2,22,0,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_264.jpg",0,5,2,27,11,0,0,0,0,0,0,0,21,30,0,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_304.jpg",0,2,7,34,20,0,0,0,0,2,7,0,6,14,3,0,0,0,1
"4_1","4","1","2022_10_10_09-46-57_208.jpg",0,21,2,50,0,0,0,0,4,4,0,0,2,17,0,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_496.jpg",0,12,1,5,5,0,0,0,6,0,42,0,3,26,0,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_432.jpg",0,12,0,0,1,0,0,0,0,1,51,0,0,23,9,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_296.jpg",0,3,2,28,21,0,0,0,0,4,0,0,13,21,0,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_384.jpg",0,26,0,0,0,1,0,0,1,3,45,0,7,17,0,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_8.jpg",0,8,8,13,1,0,0,0,0,0,42,0,1,14,13,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_424.jpg",0,8,2,1,12,0,0,0,0,1,36,0,6,18,13,0,1,2,0
"4_1","4","1","2022_10_10_09-46-57_464.jpg",0,2,0,0,28,0,0,0,0,0,61,0,0,9,0,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_472.jpg",0,14,4,0,9,0,0,0,24,0,0,0,0,24,25,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_408.jpg",0,22,1,0,2,0,0,0,2,1,40,0,1,28,0,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_232.jpg",0,9,0,1,2,0,0,0,0,0,46,0,1,31,0,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_392.jpg",0,2,0,0,29,0,0,0,0,0,53,0,0,16,0,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_440.jpg",0,10,0,0,28,0,0,0,0,0,51,0,0,11,0,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_80.jpg",0,10,1,35,8,0,0,0,0,0,11,0,18,11,5,0,0,0,1
"4_1","4","1","2022_10_10_09-46-57_352.jpg",0,3,3,0,8,0,0,0,0,0,78,0,5,0,2,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_376.jpg",0,14,2,0,7,0,0,0,0,0,60,0,2,15,0,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_488.jpg",0,9,0,0,8,0,0,0,0,0,53,0,0,30,0,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_256.jpg",0,16,1,25,5,0,0,0,0,8,10,0,7,27,0,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_160.jpg",0,1,0,8,50,0,0,0,0,0,0,0,0,41,0,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_96.jpg",0,10,2,15,13,0,0,0,0,0,18,0,3,31,4,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_152.jpg",0,8,2,34,22,0,0,0,0,4,0,0,9,19,0,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_64.jpg",0,21,2,8,12,1,0,0,0,0,35,0,12,3,0,0,0,0,1
"4_1","4","1","2022_10_10_09-46-57_448.jpg",0,11,0,1,22,0,0,0,2,0,45,0,0,19,0,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_456.jpg",0,36,0,2,6,0,0,0,4,0,0,0,1,51,0,0,0,0,0
